aircraft_family,avg_csat,avg_rating,total_reviews,recommended_rate
Boeing 747,2.757100591715976,4.538461538461538,169,0.34911242603550297
Boeing 777,2.892088607594937,4.186708860759493,316,0.3987341772151899
Boeing 787,3.2645299145299145,4.188034188034188,117,0.5384615384615384
